frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.000000,2,false,true,0.004996016,0.001250207,0.150173138,0.000000000,0.100000000,0.000000000,0.980000000
1,0.016667,2,false,false,0.010757644,0.002434225,0.150838303,0.000083333,0.099999965,0.000050000,0.980000000
2,0.033333,2,false,false,0.016108904,0.007009346,0.149358687,0.000166667,0.099999861,0.000100000,0.980000000
3,0.050000,2,false,false,0.021612110,0.010901800,0.150736814,0.000250000,0.099999688,0.000150000,0.980000000
4,0.066667,2,false,false,0.027163033,0.017712568,0.149993291,0.000333333,0.099999444,0.000200000,0.980000000
5,0.083333,2,false,false,0.032742856,0.019004004,0.150030878,0.000416665,0.099999132,0.000250000,0.980000000
6,0.100000,2,false,false,0.038651299,0.022505341,0.149824441,0.000499998,0.099998750,0.000300000,0.980000000
7,0.116667,2,false,false,0.044149132,0.029332711,0.149494633,0.000583330,0.099998299,0.000349999,0.980000000
8,0.133333,2,false,false,0.048758375,0.032271525,0.149594365,0.000666662,0.099997778,0.000399999,0.980000000
9,0.150000,2,false,false,0.054558290,0.036609833,0.150618550,0.000749993,0.099997188,0.000449998,0.980000000
10,0.166667,2,false,false,0.059801870,0.039042258,0.149781668,0.000833324,0.099996528,0.000499998,0.980000000
11,0.183333,2,false,false,0.065071019,0.044994926,0.149349176,0.000916654,0.099995799,0.000549997,0.980000000
12,0.200000,2,false,false,0.070046945,0.046572401,0.149431318,0.000999983,0.099995000,0.000599996,0.980000000
13,0.216667,2,false,false,0.074664346,0.050946207,0.150077723,0.001083312,0.099994132,0.000649995,0.980000000
14,0.233333,2,false,false,0.079618290,0.054584524,0.149006879,0.001166640,0.099993195,0.000699994,0.980000000
15,0.250000,2,false,false,0.085050491,0.059010286,0.149410843,0.001249967,0.099992188,0.000749993,0.980000000
16,0.266667,2,false,false,0.090520229,0.063026293,0.148594202,0.001333294,0.099991111,0.000799991,0.980000000
17,0.283333,2,false,false,0.095383964,0.067991489,0.148503914,0.001416619,0.099989965,0.000849990,0.980000000
18,0.300000,2,false,false,0.099936168,0.069941953,0.148705918,0.001499944,0.099988750,0.000899988,0.980000000
19,0.316667,2,false,false,0.105547203,0.075123253,0.148497138,0.001583267,0.099987466,0.000949986,0.980000000
20,0.333333,2,false,false,0.111352495,0.080711714,0.148956091,0.001666590,0.099986111,0.000999983,0.980000000
21,0.350000,2,false,false,0.115484226,0.082815858,0.149934868,0.001749911,0.099984688,0.001049981,0.980000000
22,0.366667,2,false,false,0.119565918,0.088016196,0.150149111,0.001833231,0.099983195,0.001099978,0.980000000
23,0.383333,2,false,false,0.125382054,0.091787692,0.148908115,0.001916549,0.099981633,0.001149975,0.980000000
